,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.55(0.11)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.08(0.23)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.17(0.75)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.53(0.62)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",6755.40(19.79),64.48(0.10),48.53(1.46),62.77(1.12),52.07(0.41),5.15(0.26)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",6745.60(21.89),64.53(0.12),48.59(0.88),62.77(0.51),52.05(0.35),5.22(0.12)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12328.60(1.52),35.18(0.01),nan(nan),nan(nan),50.01(0.01),5.01(0.08)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9230.40(91.54),51.47(0.48),48.62(0.39),62.66(0.23),49.55(0.52),5.27(0.51)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9199.60(39.54),51.63(0.21),48.91(0.45),62.85(0.44),49.71(0.38),6.21(0.19)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12329.20(1.48),35.18(0.01),nan(nan),nan(nan),50.00(0.01),6.36(0.07)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9660.40(85.02),49.21(0.45),50.03(0.17),63.68(0.23),49.84(0.13),5.22(0.49)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8885.80(130.61),53.28(0.69),49.56(0.29),63.49(0.33),50.17(0.31),5.09(0.12)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.60(1.52),35.18(0.01),nan(nan),nan(nan),50.00(0.01),6.29(0.36)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",8699.00(380.40),54.26(2.00),55.43(1.54),66.40(1.20),53.40(0.45),5.44(0.65)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",10316.80(1713.25),45.76(9.01),54.11(2.59),65.87(1.75),51.42(1.42),6.30(0.43)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),6.30(0.15)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",8452.40(180.66),55.56(0.95),53.30(1.21),65.44(0.75),52.68(0.50),6.33(0.09)
