,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",387.40(1.14),43.86(0.17),57.22(1.15),56.91(1.43),48.89(0.14),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",387.00(0.71),43.91(0.10),57.21(0.64),57.28(0.48),48.94(0.09),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",310.60(1.34),54.99(0.19),nan(nan),nan(nan),49.63(0.16),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",371.80(19.99),46.12(2.90),55.08(1.97),52.86(1.24),50.40(2.32),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",361.80(5.17),47.57(0.75),53.96(1.53),51.61(1.48),50.68(0.47),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",310.60(2.30),54.99(0.33),nan(nan),nan(nan),49.64(0.32),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",333.60(9.53),51.65(1.38),49.48(1.03),48.94(0.73),50.59(1.29),0.20(0.07)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",355.00(7.84),48.55(1.14),52.22(1.56),51.79(1.41),50.11(1.14),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",306.40(0.55),55.59(0.08),nan(nan),nan(nan),50.24(0.09),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",311.20(1.64),54.90(0.24),nan(nan),nan(nan),49.63(0.20),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",310.60(2.30),54.99(0.33),nan(nan),nan(nan),49.70(0.31),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",310.20(1.64),55.04(0.24),nan(nan),nan(nan),49.78(0.22),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",310.40(1.52),55.01(0.22),nan(nan),nan(nan),49.76(0.17),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",304.80(2.49),55.83(0.36),nan(nan),nan(nan),50.63(0.35),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",305.60(3.58),55.71(0.52),nan(nan),nan(nan),50.51(0.52),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",308.80(0.84),55.25(0.12),nan(nan),nan(nan),49.81(0.11),0.17(0.00)
