,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",273.20(3.96),64.43(0.52),45.77(0.30),32.16(0.31),49.65(0.34),0.17(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",271.20(1.48),64.69(0.19),45.75(0.38),31.88(0.37),49.73(0.11),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",285.00(22.73),62.89(2.96),49.48(nan),35.48(nan),50.38(0.60),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",369.20(4.38),51.93(0.57),48.13(0.97),34.97(1.01),48.83(0.47),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",370.60(9.37),51.74(1.22),48.13(1.42),35.14(1.05),48.71(1.25),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",272.00(3.67),64.58(0.48),nan(nan),nan(nan),50.07(0.40),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",404.80(10.38),47.29(1.35),53.29(0.60),41.06(0.72),51.05(1.08),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",369.80(24.77),51.85(3.23),47.86(2.32),36.46(1.69),48.25(2.45),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",269.80(1.64),64.87(0.21),nan(nan),nan(nan),50.17(0.25),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",281.80(14.13),63.31(1.84),nan(nan),nan(nan),50.01(0.62),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",293.40(39.20),61.80(5.10),45.04(nan),34.20(nan),49.16(1.81),0.20(0.06)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",268.80(1.10),65.00(0.14),nan(nan),nan(nan),50.04(0.18),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",293.20(38.06),61.82(4.96),nan(nan),nan(nan),49.14(1.52),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",292.60(35.63),61.90(4.64),45.26(nan),34.26(nan),49.34(1.33),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",268.80(1.10),65.00(0.14),nan(nan),nan(nan),50.04(0.18),0.17(0.00)
